model,accuracy,precision,recall,f1-score
RNN Depth 2 (GPT-2 + PCA),0.44,0.7999013207384144,0.9331725800895625,0.8546412875479031
Zero-Shot (Projection based) (GPT-2),0.467,0.786295019097156,0.9457649815868765,0.8511410778184496
RNN Depth 3 (GPT-2 + PCA),0.62,0.8065255258775174,0.9105658884052236,0.8508648354594879
NN Depth 2 (BOW),0.7244695807770961,0.8831405575921787,0.7990781021997354,0.8367583307141945
Decision Tree (BOW),0.6598127556237219,0.8474329443906412,0.7993396019553973,0.8217386754310149
NN Depth 3 (BOW),0.6949610173824131,0.8575339172200501,0.7894829668018831,0.8201604963568697
NN Depth 3 (TF-IDF),0.718558282208589,0.8624830940836292,0.7860833321272993,0.8182476715589864
Decision Tree (TF-IDF),0.6241053169734151,0.8245701962983897,0.79032237207919,0.8058081098647131
NN Depth 2 (TF-IDF),0.7554479805725971,0.9207366215117087,0.7363983036917716,0.8043442361618025
Linear (BOW),0.7054895194274029,0.9155922271137465,0.7206698032377832,0.802424783077067
Random Forest (BOW),0.7416442995910021,0.9171535622414745,0.7259089066090012,0.7983378136773749
RNN Depth 1 (GPT-2 + PCA),0.405,0.6650908610955761,0.954382183908046,0.7692747480817781
SVM (TF-IDF),0.7630527862985685,0.9575188789737773,0.6791002277904328,0.7682987103634582
Random Forest (TF-IDF),0.7299495143149284,0.932414220203399,0.6788516813909609,0.7676338124460428
Zero-shot (Projection based) (BERT),0.42,0.6637433355390492,0.9418416801292407,0.7650806394838706
Zero-Shot Word2Vec Descriptive Sentences (Word2Vec),0.5367139570552147,0.6356134309870972,0.973807415480326,0.7649012163181859
NN Depth 2 (GPT-2 + PCA),0.313,0.6781037440979414,0.9033982436044292,0.7516633516063832
Decision Tree (GPT-2),0.491,0.7788792854508433,0.7349397590361446,0.7497207174776146
Linear (TF-IDF),0.7416602760736196,0.9546182611438397,0.6555753510794383,0.7456876135050187
Zero-shot (Projection based) (Word2Vec),0.4325153374233129,0.6323707288351823,0.9482798015406712,0.7444616793166209
Decision Tree (TF-IDF + PCA),0.5088669478527608,0.7519729776305452,0.7292759043299177,0.7394756616045163
Decision Tree (BOW + PCA),0.4894075920245399,0.7494514484565352,0.7305631466520282,0.7389310252540072
Zero-Shot GPT-2 Word Sets (GPT-2),0.452,0.605781774034827,0.9536144578313253,0.734656642090865
Zero-Shot GPT-2 Single Words (GPT-2),0.45,0.5942586877002107,0.9820065430752454,0.734323688494653
Zero-Shot Word2Vec Word Sets (Word2Vec),0.4580457566462168,0.5858908205696013,0.99963155826292,0.7316982663507623
RNN Depth 1 (GPT-2),0.432,0.6300426173052087,0.9220835126990959,0.7315264996727543
NN Depth 1 (Distilled BERT),0.314,0.6090851189922841,0.9243515850144092,0.7301880274962527
All One Predictor,0.4495782208588957,0.5830411912663727,1.0,0.7293070902326496
Linear (GPT-2 + PCA),0.594,0.8452348834887705,0.6448430493273543,0.7255930219894051
NN Depth 1 (GPT-2 + PCA),0.156,0.6716535899292012,0.8212835093419983,0.7255853066829309
Zero-Shot GPT-2 Descriptive Sentences (GPT-2),0.42,0.6869360138181984,0.8162100456621004,0.723383796637401
Linear (GPT-2),0.584,0.8129718872815787,0.6536118363794604,0.7210826117467819
NN Depth 1 (BOW),0.7175198108384458,0.9481791258539859,0.6104717545354043,0.7142778287985978
NN Depth 3 (Distilled BERT),0.332,0.5658065025252527,0.9375,0.7016419767973772
Decision Tree (Word2Vec + PCA),0.42059688139059304,0.6784264725010852,0.7282896998870279,0.70083090307689
Decision Tree (Word2Vec),0.41765720858895705,0.6738058524491669,0.7329985756705212,0.7001577562577388
Linear (TF-IDF + PCA),0.7068475204498977,0.9268895674905949,0.5939628593962859,0.6860676804370994
Random Predictor,0.2363401073619632,0.5845949568839682,0.8587189186533697,0.6854288171377143
SVM (BOW),0.729693890593047,0.9557650552436209,0.6076709879302638,0.6732010566758586
